url,test_folder,source_folder
https://github.com/faker-ruby/faker.git,test,lib
https://github.com/fog/fog.git,tests,lib
https://github.com/bigbluebutton/greenlight.git,test,lib
https://github.com/presidentbeef/brakeman.git,test,lib
https://github.com/Shopify/liquid.git,test/unit,lib
https://github.com/ruby/ruby.git,test,lib
https://github.com/Homebrew/brew.git,Library/Homebrew/test,Library/Homebrew
https://github.com/rapid7/metasploit-framework.git,test,lib
https://github.com/rails/rails.git,railties/test,railties/lib
https://github.com/alexreisner/geocoder.git,test,lib
https://github.com/javan/whenever.git,test,lib
https://github.com/hashicorp/vagrant.git,test/unit,lib
